First Name,Last Name,Mailing Address,Mailing City,Mailing State,Mailing Zip,Property Address,Property City,Property State,Property Zip,Lead Type,Document Type,Date Filed,Document Number,Amount/Debt Owed,Seller Score,Motivated Seller Flags,Source,Public Records URL
URBAN,EDGE BUILDERS LLC,4202 F ST,HOUSTON,TX,77072-5366,4202 F ST,HOUSTON,TX,77072,Lis Pendens,L/P,2026-05-29,RP-2026-210248,,90,Lis pendens; LLC / corp owner; New this week,Harris County Clerk,https://www.cclerk.hctx.netEComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVWGrWvi+sjFtoLlOKI+AQRcztiL9aGrJ7/3O5N1M3C1XEyOryTHzFVgHPe0gJ2W0/AT1mUO+qwhclgwiwBU/6sQxbuAKIa5d3tGSIxvsCFe7luctlXQwfy7dMcEYHZUOkg==
ETTERIDGE,PROPERTY OWNERS ASSOCIATION INC,11311 EAGLE BRANCH DR,HUMBLE,TX,77396-4888,11311 EAGLE BRANCH DR,HUMBLE,TX,77396,Lis Pendens,L/P,2026-05-28,RP-2026-209724,,90,Lis pendens; LLC / corp owner; New this week,Harris County Clerk,https://www.cclerk.hctx.netEComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVYtXEkE5gdXIZ8jdI7aQpc2eVnWeptLO3azicNp7iaKVsmj4agOwXVggGwbNxMQWwvHYR1tSjB06jD1/1n/Vh13+kyrI6iyutpHGl22TAt2ktdo/atcyKUecubnqos6qlw==
PROPERTY,OWNERS ASSOCIATION OF BALMORAL INC,15015 WILTSHIRE CASTLE LN,HOUSTON,TX,77044-1993,15015 WILTSHIRE CASTLE LN,HOUSTON,TX,77044,Lis Pendens,L/P,2026-05-28,RP-2026-209705,,90,Lis pendens; LLC / corp owner; New this week,Harris County Clerk,https://www.cclerk.hctx.netEComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVWVCOB8ZEmnTyHPoWVsz+OpvaUXrVvTKcI4I4ZA2bGKus5j4yUzW6qeLQ6wCAlmOSdyVXrd2fOtSetDUSZdlqT2BtG2U7iREGtAwfhTeIIDfWwRHdKbLFn3ahtQIwVDHHg==
PROPERTY,OWNERS ASSOCIATION OF BALMORAL INC,2825 WILCREST STE 300,HOUSTON,TX,77042-3398,0 LEXUS DR,HUMBLE,TX,77396,Lis Pendens,L/P,2026-05-28,RP-2026-209678,,90,Lis pendens; LLC / corp owner; New this week,Harris County Clerk,https://www.cclerk.hctx.netEComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVenAay2erQSZZ++PH6+ep1LlqHJZZ8EfaCVhpJ30fhKQckiq17lkmdcYUpCusL/mNDv0aVOZcRFtQ+lmz8Qsbq+sFvtrV2EiMAUL6IKUEhIDnUtxRfYozVCtr/lFdxgsYw==
AVALON,AT CYPRESS COMMUNITY ASSOCIATION INC,21815 WYCOMBE TERRACE WAY,CYPRESS,TX,77433-8523,21815 WYCOMBE TERRACE WAY,CYPRESS,TX,77433,Lis Pendens,L/P,2026-05-28,RP-2026-209672,,90,Lis pendens; LLC / corp owner; New this week,Harris County Clerk,https://www.cclerk.hctx.netEComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVVpVypwd0KIwHaA1xOrH1Iz04KCZzJGtt6jO1G3YtXEG0k9dDVoRgWlM6AlgwGCfQcgq07G6YGyjIklcRxa44K8DMHViHbxDD2KjAkaayLrLMicQlHH6Y8fmNZg3KnwIuw==
ETTERIDGE,PROPERTY OWNERS ASSOCIATION INC,15218 GLOW BERRY LN,HUMBLE,TX,77396-5158,15218 GLOW BERRY LN,HUMBLE,TX,77396,Lis Pendens,L/P,2026-05-28,RP-2026-209667,,90,Lis pendens; LLC / corp owner; New this week,Harris County Clerk,https://www.cclerk.hctx.netEComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVdNMkN84ozUacBb0vDMoU5PLugCz+tii+JmB38bS0+MbftcIfKXxnHVL9JzCB9QbVVOvPOWWq7dxkWnp/2TdZ8kJDKBgVk24sa20U3F2rBkWL6rsJGyynIAQEVcsJGLnFA==
ETTERIDGE,PROPERTY OWNERS ASSOCIATION INC,11338 EAGLE BRANCH DR,HUMBLE,TX,77396-4887,11338 EAGLE BRANCH DR,HUMBLE,TX,77396,Lis Pendens,L/P,2026-05-28,RP-2026-209574,,90,Lis pendens; LLC / corp owner; New this week,Harris County Clerk,https://www.cclerk.hctx.netEComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVS3hoIJhXoIoLmuYU6GR6ykPKBUZOZ5iD5nD0J6zq7wFaPEI9PdFlmXl9tXKFhVx3bBf0s6RnSeFn7nBs3+AOq//zhgTjeynvMBb7s7MVv9jHGTHntv4kSKfJh/2cRqbtw==
WINVESTMENTCO,LLC,18527 TRAIL BEND LN,HOUSTON,TX,77084-3856,18527 TRAIL BEND LN,HOUSTON,TX,77084,Lis Pendens,L/P,2026-05-28,RP-2026-209431,,90,Lis pendens; LLC / corp owner; New this week,Harris County Clerk,https://www.cclerk.hctx.netEComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVdE+zJ96x8/GPpYQVSDBVZTki2bRmPDjdS/sFqFZY8O0pSpjXim9WSz+GsUyrF7u9ipI0OVx85g5XNtp/p7q6J6c42l5Jj9fjDMbWcSVBZSIM/t7ctzhWwvQ4lKuTXAsKA==
NORTH,BRIAR COMMUNITY ASSOCIATION INC,1810 WARWICKSHIRE DR,HOUSTON,TX,77077-4127,1810 WARWICKSHIRE DR,HOUSTON,TX,77077,Lis Pendens,L/P,2026-05-28,RP-2026-209413,,90,Lis pendens; LLC / corp owner; New this week,Harris County Clerk,https://www.cclerk.hctx.netEComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVWgoVlIzjgt7D0fdNRgWecBgPfpxV/M1lfG+/tr3wGBbnvS++nPRo/ku3h+bIb+DN5Y3fzAcm+/UjX8rIcYpxk4WU09cnUkAXNJGtX/6iQ3lAbVjnCFmOv4ue3ec/1nBvw==
GOOSE,CREEK LANDING COMMUNITY ASSOCIATION INC,8703 RUDDY DUCK CT,BAYTOWN,TX,77521-5010,8703 RUDDY DUCK CT,BAYTOWN,TX,77521,Lis Pendens,L/P,2026-05-28,RP-2026-208840,,90,Lis pendens; LLC / corp owner; New this week,Harris County Clerk,https://www.cclerk.hctx.netEComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVS9u6MpPTl1G1kbbrnx+/B0g0y9hvJvudLD9iS5mo3JbLxTzKY+Y++PPj2VkU63nLYiZXxKLBGnftyUNJUd0qLH9GZLNl30EU921HLnEdd1Jk2e3updQ/5ilpBhfXC7m+A==
STONE,CREEK RANCH COMMUNITY ASSOCIATION INC,31326 KAILUA DR,HOCKLEY,TX,77447-1824,31326 KAILUA DR,HOCKLEY,TX,77447,Lis Pendens,L/P,2026-05-28,RP-2026-208077,,90,Lis pendens; LLC / corp owner; New this week,Harris County Clerk,https://www.cclerk.hctx.netEComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVQm7fN7bfqEiIYH0dcpGvGggolsVWnEkJrh0DDa68rmDQuX8D/x9ZYVRDTHLZwJZwOh7X//JlqoNEBxLdDsozhZgHKmEgsIAYdwR62EX5W6WOYFQty9hwWXKeWo6fdOq4Q==
